uzytkownik,budzet,cel,czestotliwosc,teren,doswiadczenie,pogoda,dystans,rower
mężczyzna,7000,sport,raz w tygodniu,góry,zaawansowany,deszczowa,20,Rower MTB R-RAYMON Yara 120 Pro
kobieta,1500,sport,codziennie,góry,zaawansowany,każda,50,Rower gravel KROSS Esker 8.0 GRX 2x12
kobieta,5000,turystyka,kilka razy w tygodniu,teren mieszany,średniozaawansowany,słoneczna,5,Rower gravel KROSS Esker 8.0 GRX 2x12
mężczyzna,1500,rekreacja,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,10,Rower gravel KROSS Esker RS 1.0
kobieta,10000,rekreacja,kilka razy w tygodniu,góry,zaawansowany,słoneczna,30,Rower gravel KROSS Esker RS 1.0
kobieta,1500,rekreacja,codziennie,ścieżki rowerowe,początkujący,deszczowa,20,Rower szosowy GIANT Defy Advanced 2
kobieta,1000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,5,Rower szosowy GIANT Defy Advanced 2
mężczyzna,3000,rekreacja,kilka razy w tygodniu,miasto,początkujący,słoneczna,20,Rower gravel ORBEA Terra H30 (1x12)
mężczyzna,2000,turystyka,raz w tygodniu,miasto,początkujący,słoneczna,50,Rower gravel ORBEA Terra H30 GRX (2x12)
mężczyzna,5000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,5,Rower szosowy R-RAYMON Kirana
kobieta,4000,sport,raz w tygodniu,teren mieszany,zaawansowany,słoneczna,50,Rower gravel R-RAYMON Soreno
mężczyzna,1500,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,dobra,20,Rower gravel RONDO MYLC CF2
mężczyzna,3000,rekreacja,kilka razy w tygodniu,miasto,zaawansowany,deszczowa,30,Rower gravel GHOST Asket Pro
mężczyzna,5000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,dobra,10,Rower gravel SUPERIOR XR 9.5 GR
mężczyzna,2000,sport,kilka razy w tygodniu,teren mieszany,początkujący,deszczowa,10,Rower gravel KROSS Esker RS 2.0
mężczyzna,2000,rekreacja,kilka razy w tygodniu,teren mieszany,średniozaawansowany,deszczowa,50,Rower gravel KROSS Esker RS 2.0
kobieta,7000,rekreacja,codziennie,teren mieszany,początkujący,słoneczna,30,Rower szosowy SUPERIOR X-ROAD 9.3 GF
mężczyzna,5000,sport,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,20,Rower MTB GHOST Lector FS SF LC Universal
kobieta,2000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,5,Rower szosowy RONDO HVRT CF2
mężczyzna,2000,dojazdy,codziennie,miasto,zaawansowany,dobra,5,Rower szosowy LAPIERRE Xelius SL 5.0 Di2
kobieta,1000,sport,codziennie,miasto,zaawansowany,słoneczna,5,Rower MTB ORBEA Alma M30
kobieta,5000,sport,codziennie,teren mieszany,zaawansowany,każda,10,Rower szosowy ORBEA Orca M30
kobieta,7000,turystyka,raz w tygodniu,teren mieszany,średniozaawansowany,dobra,20,Rower MTB SUPERIOR XF 979 TR
kobieta,1500,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,50,Rower gravel damski LIV Devote Advanced 2
kobieta,1000,turystyka,codziennie,góry,zaawansowany,deszczowa,20,Rower MTB NS BIKES Define AL 140 1
mężczyzna,1000,sport,codziennie,góry,zaawansowany,deszczowa,5,Rower szosowy GIANT TCR Advanced 1 KOM
mężczyzna,1500,rekreacja,kilka razy w tygodniu,teren mieszany,średniozaawansowany,dobra,10,Rower szosowy KROSS Vento DSC 8.0 105 (2x12)
kobieta,7000,sport,raz w tygodniu,góry,początkujący,słoneczna,20,Rower MTB NS BIKES Define AL 170 1
mężczyzna,1000,turystyka,raz w tygodniu,góry,zaawansowany,słoneczna,30,Rower gravel SENSA Giulia Elite GRX Carbon Edition
mężczyzna,7000,sport,codziennie,miasto,początkujący,dobra,30,Rower gravel SUPERIOR X-ROAD 9.7 GR
kobieta,1500,dojazdy,codziennie,ścieżki rowerowe,średniozaawansowany,słoneczna,5,Rower szosowy KROSS Vento DSC 9.0 105 Di2
kobieta,1000,sport,kilka razy w tygodniu,miasto,początkujący,słoneczna,5,Rower szosowy GIANT Defy Advanced 1
mężczyzna,7000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,każda,20,Rower MTB NS BIKES Synonym TR 2
kobieta,7000,rekreacja,raz w tygodniu,miasto,początkujący,dobra,30,Rower MTB SUPERIOR XF 6.2 DC
mężczyzna,2000,sport,codziennie,ścieżki rowerowe,początkujący,dobra,20,Rower gravel R-RAYMON Soreno Pro
kobieta,5000,rekreacja,codziennie,ścieżki rowerowe,początkujący,każda,5,Rower szosowy GIANT TCR Advanced 1 PC
mężczyzna,1000,dojazdy,raz w tygodniu,miasto,zaawansowany,każda,5,Rower MTB R-RAYMON FullRay 170 10.0 GX
kobieta,10000,sport,kilka razy w tygodniu,teren mieszany,zaawansowany,dobra,30,Rower gravel damski LIV Devote Advanced 1
kobieta,10000,dojazdy,raz w tygodniu,miasto,zaawansowany,każda,5,Rower MTB damski LIV Pique Advanced Pro
kobieta,2000,turystyka,codziennie,ścieżki rowerowe,średniozaawansowany,dobra,10,Rower gravel GHOST Asket Full Party
kobieta,7000,dojazdy,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,30,Rower MTB GIANT Anthem Advanced Pro 2
kobieta,1000,sport,raz w tygodniu,teren mieszany,zaawansowany,każda,20,Rower gravel SUPERIOR X-ROAD Team Issue Di2 GR
mężczyzna,3000,turystyka,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,30,Rower szosowy SENSA Giulia Evo Integrale Dark Brush 105 Di2
kobieta,7000,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,dobra,10,Rower szosowy SENSA Giulia GF LTD 105 Di2
kobieta,1500,rekreacja,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,20,Rower gravel LAPIERRE Crosshill CF 6.0 S
mężczyzna,1000,sport,raz w tygodniu,góry,zaawansowany,dobra,5,Rower szosowy SENSA Giulia GF LTD 105 Di2
mężczyzna,1500,sport,raz w tygodniu,góry,początkujący,każda,5,Rower szosowy SUPERIOR X-ROAD 9.5 GF
kobieta,10000,turystyka,codziennie,teren mieszany,średniozaawansowany,deszczowa,5,Rower szosowy GIANT Defy Advanced Pro 2
kobieta,7000,sport,codziennie,miasto,średniozaawansowany,dobra,30,Rower szosowy GIANT TCR Advanced 0 PC
mężczyzna,2000,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,dobra,5,Rower gravel ORBEA Terra M30 Team 1X (1x12) GRX
mężczyzna,10000,sport,codziennie,góry,średniozaawansowany,każda,30,Rower szosowy R-RAYMON Kirana Pro
mężczyzna,5000,turystyka,codziennie,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower gravel ORBEA Terra M30 Team (2x12) GRX
mężczyzna,10000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,deszczowa,10,Rower MTB GHOST Lector FS SF Advanced
mężczyzna,2000,turystyka,codziennie,teren mieszany,początkujący,słoneczna,50,Rower szosowy GIANT TCR Advanced 0 AXS
mężczyzna,2000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower gravel KROSS Esker RS 3.0
kobieta,3000,rekreacja,codziennie,miasto,zaawansowany,każda,30,Rower szosowy SUPERIOR XR 9.5 GF
kobieta,1000,sport,kilka razy w tygodniu,miasto,zaawansowany,dobra,20,Rower szosowy FELT FR Advanced Ultegra Di2
mężczyzna,10000,turystyka,codziennie,ścieżki rowerowe,początkujący,każda,20,Rower MTB R-RAYMON FullRay 150 10.0 12S GX
kobieta,1000,turystyka,raz w tygodniu,miasto,początkujący,deszczowa,5,Rower gravel KROSS Esker RS 3.0
mężczyzna,5000,turystyka,codziennie,ścieżki rowerowe,zaawansowany,dobra,5,Rower szosowy ORBEA Orca M30iLTD PWR
kobieta,1500,dojazdy,raz w tygodniu,miasto,zaawansowany,dobra,5,Rower szosowy damski LIV Langma Advanced Pro 1 Disc
kobieta,5000,turystyka,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,50,Rower szosowy GIANT Propel Advanced 1
mężczyzna,7000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,5,Rower szosowy ORBEA Orca M30i
kobieta,2000,sport,raz w tygodniu,góry,średniozaawansowany,słoneczna,30,Rower gravel LAPIERRE Crosshill CF 6.0 AXS
kobieta,7000,turystyka,codziennie,teren mieszany,początkujący,każda,30,Rower szosowy LAPIERRE Xelius SL 7.0
kobieta,7000,rekreacja,kilka razy w tygodniu,teren mieszany,średniozaawansowany,deszczowa,20,Rower szosowy RONDO HVRT CF1
kobieta,7000,rekreacja,codziennie,góry,zaawansowany,dobra,50,Rower MTB SUPERIOR XF 6.6 DC
mężczyzna,4000,sport,codziennie,miasto,średniozaawansowany,każda,30,Rower szosowy LAPIERRE Xelius SL 7.0
kobieta,7000,sport,kilka razy w tygodniu,teren mieszany,zaawansowany,słoneczna,30,Rower szosowy LAPIERRE Aircode DRS 6.0 AXS
mężczyzna,1500,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,10,Rower MTB SUPERIOR XF 9.2 RC
mężczyzna,3000,sport,codziennie,góry,zaawansowany,dobra,10,Rower szosowy ORBEA Orca Aero M31eLTD PWR
kobieta,4000,sport,codziennie,teren mieszany,początkujący,deszczowa,30,Rower szosowy SENSA Giulia Supremo 105 Di2
kobieta,5000,rekreacja,codziennie,góry,początkujący,deszczowa,5,Rower MTB LAPIERRE Prorace CF 9.9 X0 AXS
mężczyzna,4000,rekreacja,codziennie,góry,średniozaawansowany,każda,20,Rower MTB NS BIKES Synonym TR 1
mężczyzna,3000,turystyka,kilka razy w tygodniu,teren mieszany,początkujący,deszczowa,30,Rower MTB GHOST Lector World Cup 30
mężczyzna,3000,turystyka,kilka razy w tygodniu,teren mieszany,średniozaawansowany,dobra,10,Rower szosowy GIANT TCR Advanced Pro 1 AXS
mężczyzna,10000,turystyka,raz w tygodniu,teren mieszany,zaawansowany,każda,30,Rower gravel R-RAYMON Soreno Ultra
kobieta,1000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,słoneczna,5,Rower szosowy GIANT Propel Advanced Pro 1
mężczyzna,1500,sport,raz w tygodniu,miasto,początkujący,dobra,10,Rower szosowy R-RAYMON Kirana Ultra
kobieta,1000,rekreacja,codziennie,góry,średniozaawansowany,deszczowa,20,Rower MTB SUPERIOR XF 9.6 RC
mężczyzna,5000,turystyka,codziennie,teren mieszany,zaawansowany,dobra,20,Rower szosowy ORBEA Orca M35i
kobieta,3000,rekreacja,raz w tygodniu,teren mieszany,początkujący,deszczowa,30,Rower szosowy LAPIERRE Xelius DRS 7.0 C1
mężczyzna,4000,turystyka,kilka razy w tygodniu,teren mieszany,średniozaawansowany,słoneczna,5,Rower MTB SUPERIOR XF 9.6 DC
kobieta,1000,sport,codziennie,ścieżki rowerowe,początkujący,deszczowa,20,Rower szosowy SENSA Giulia Supremo Ultegra Di2
mężczyzna,10000,rekreacja,raz w tygodniu,teren mieszany,początkujący,każda,20,Rower MTB ORBEA Oiz M21 2025
mężczyzna,1500,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,10,Rower szosowy GIANT TCR Advanced SL 1 Disc Di2
mężczyzna,1500,dojazdy,codziennie,teren mieszany,początkujący,deszczowa,50,Rower MTB SUPERIOR XF 9.7 RC
mężczyzna,5000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,50,Rower MTB GIANT Anthem Advanced Pro 1
kobieta,7000,sport,kilka razy w tygodniu,góry,początkujący,deszczowa,10,Rower szosowy GIANT TCR Advanced Pro 0 AXS
mężczyzna,4000,dojazdy,codziennie,miasto,zaawansowany,deszczowa,20,Rower szosowy R-RAYMON Kirana Ultimate
mężczyzna,10000,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,30,Rower szosowy ORBEA Orca Aero M35iLTD PWR
mężczyzna,4000,sport,kilka razy w tygodniu,teren mieszany,średniozaawansowany,deszczowa,10,Rower MTB ORBEA Oiz M10
kobieta,1000,dojazdy,raz w tygodniu,miasto,początkujący,każda,50,Rower gravel damski LIV Devote Advanced Pro
kobieta,7000,turystyka,raz w tygodniu,miasto,zaawansowany,każda,50,Rower MTB ORBEA Oiz M-PRO
kobieta,1500,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,5,Rower szosowy damski LIV EnviLiv Advanced SL LTD
kobieta,2000,rekreacja,raz w tygodniu,miasto,początkujący,dobra,5,Rower gravel SUPERIOR XR 9.9 GR
kobieta,10000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,10,Rower crossowy damski OXFELD CR-1W
kobieta,1500,turystyka,raz w tygodniu,góry,początkujący,deszczowa,10,Rower crossowy damski ROMET Orkan D
kobieta,1000,rekreacja,raz w tygodniu,miasto,średniozaawansowany,każda,20,Rower crossowy damski ROMET Orkan D
kobieta,1500,turystyka,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,5,Rower crossowy KROSS Evado 1.0
kobieta,10000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,słoneczna,30,Rower crossowy damski ROMET Orkan 1 D
kobieta,10000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,słoneczna,5,Rower crossowy damski ROMET Orkan D Lite
kobieta,7000,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,30,Rower crossowy damski ROMET Orkan D Lite
mężczyzna,3000,rekreacja,raz w tygodniu,góry,zaawansowany,słoneczna,50,Rower crossowy ROMET Orkan M Lite
kobieta,2000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,każda,50,Rower crossowy damski KROSS Evado 1.0
kobieta,5000,sport,codziennie,teren mieszany,początkujący,dobra,50,Rower crossowy damski KROSS Evado 1.0
mężczyzna,2000,dojazdy,kilka razy w tygodniu,góry,początkujący,słoneczna,10,Rower crossowy KROSS Evado 2.0
kobieta,2000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,50,Rower crossowy damski ROMET Orkan 3 D Lite
kobieta,10000,dojazdy,codziennie,góry,początkujący,dobra,20,Rower crossowy damski ROMET Orkan 3 D Lite
kobieta,3000,dojazdy,raz w tygodniu,miasto,średniozaawansowany,deszczowa,20,Rower crossowy ROMET Orkan 3 M Lite
kobieta,7000,sport,kilka razy w tygodniu,miasto,początkujący,dobra,20,Rower crossowy damski KROSS Evado 2.0
kobieta,3000,turystyka,raz w tygodniu,góry,średniozaawansowany,słoneczna,50,Rower crossowy KROSS Evado 2.0
kobieta,3000,rekreacja,codziennie,góry,średniozaawansowany,deszczowa,5,Rower crossowy KROSS Evado 2.0
mężczyzna,7000,dojazdy,codziennie,ścieżki rowerowe,początkujący,słoneczna,50,Rower crossowy KROSS Evado 2.0
kobieta,10000,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,20,Rower crossowy damski KROSS Evado 2.0
mężczyzna,1500,rekreacja,raz w tygodniu,ścieżki rowerowe,początkujący,każda,20,Rower crossowy ROMET Orkan 2 M
kobieta,5000,rekreacja,kilka razy w tygodniu,miasto,zaawansowany,każda,30,Rower crossowy damski KROSS Evado 2.0
kobieta,10000,rekreacja,kilka razy w tygodniu,miasto,początkujący,każda,30,Rower crossowy damski OXFELD CR-3W
mężczyzna,3000,dojazdy,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,5,Rower crossowy OXFELD CR-6
kobieta,4000,turystyka,raz w tygodniu,góry,początkujący,każda,30,Rower crossowy ROMET Orkan 3 M
mężczyzna,2000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,każda,5,Rower crossowy ROMET Orkan 3 M
kobieta,2000,dojazdy,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,20,Rower crossowy damski ROMET Orkan 3 D
mężczyzna,4000,rekreacja,codziennie,ścieżki rowerowe,średniozaawansowany,deszczowa,50,Rower crossowy ROMET Orkan 3 M
kobieta,7000,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,słoneczna,10,Rower crossowy damski ROMET Orkan 3 D
mężczyzna,4000,sport,codziennie,ścieżki rowerowe,zaawansowany,każda,5,Rower crossowy ROMET Orkan 3 M
kobieta,2000,turystyka,raz w tygodniu,teren mieszany,zaawansowany,każda,50,Rower crossowy damski ROMET Orkan 3 D
kobieta,1500,turystyka,kilka razy w tygodniu,góry,początkujący,słoneczna,30,Rower crossowy damski OXFELD CR-6W
mężczyzna,10000,dojazdy,raz w tygodniu,ścieżki rowerowe,początkujący,dobra,5,Rower crossowy KELLYS Cliff 30
kobieta,2000,sport,raz w tygodniu,góry,średniozaawansowany,każda,5,Rower crossowy damski KROSS Evado 2.0
kobieta,1500,dojazdy,raz w tygodniu,góry,zaawansowany,deszczowa,10,Rower crossowy damski KROSS Evado 2.0
kobieta,7000,turystyka,kilka razy w tygodniu,teren mieszany,średniozaawansowany,słoneczna,50,Rower crossowy damski ROMET Orkan 4 D Lite
mężczyzna,2000,rekreacja,kilka razy w tygodniu,miasto,zaawansowany,deszczowa,30,Rower crossowy KROSS Evado 2.0
kobieta,5000,sport,raz w tygodniu,teren mieszany,początkujący,słoneczna,10,Rower crossowy damski ROMET Orkan 4 D Lite
mężczyzna,4000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,10,Rower crossowy KROSS Evado 2.0
kobieta,1000,dojazdy,raz w tygodniu,góry,zaawansowany,każda,5,Rower crossowy ROMET Orkan 4 M
mężczyzna,2000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,10,Rower crossowy KROSS Horizon 2.0
kobieta,5000,sport,kilka razy w tygodniu,miasto,początkujący,deszczowa,50,Rower crossowy KROSS Evado 3.0
mężczyzna,3000,sport,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,dobra,10,Rower crossowy ROMET Orkan 4 M
mężczyzna,7000,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,30,Rower crossowy ROMET Orkan 4 M
mężczyzna,10000,rekreacja,codziennie,góry,zaawansowany,dobra,20,Rower crossowy ROMET Orkan 4 M
mężczyzna,3000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,30,Rower crossowy KROSS Evado 4.0
kobieta,10000,dojazdy,codziennie,góry,początkujący,słoneczna,20,Rower crossowy damski KROSS Horizon 2.0
mężczyzna,4000,turystyka,raz w tygodniu,góry,średniozaawansowany,każda,50,Rower crossowy OXFELD CR-7
kobieta,7000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,10,Rower crossowy damski KROSS Evado 4.0
kobieta,7000,sport,raz w tygodniu,teren mieszany,początkujący,słoneczna,50,Rower crossowy MARIN Fairfax 1
mężczyzna,7000,sport,kilka razy w tygodniu,teren mieszany,średniozaawansowany,dobra,5,Rower crossowy MARIN Fairfax 1 ST
kobieta,1500,dojazdy,raz w tygodniu,góry,początkujący,dobra,30,Rower crossowy damski KROSS Evado 4.0
mężczyzna,5000,sport,codziennie,góry,zaawansowany,dobra,20,Rower crossowy KROSS Evado 4.0
kobieta,3000,turystyka,raz w tygodniu,góry,średniozaawansowany,dobra,5,Rower crossowy damski KROSS Evado 4.0
kobieta,1500,sport,kilka razy w tygodniu,góry,zaawansowany,dobra,20,Rower crossowy ROMET Orkan 5 M
kobieta,7000,turystyka,raz w tygodniu,teren mieszany,średniozaawansowany,dobra,50,Rower crossowy ROMET Orkan 5 M
kobieta,1500,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,5,Rower crossowy damski ROMET Orkan 5 D
kobieta,3000,dojazdy,kilka razy w tygodniu,miasto,początkujący,każda,5,Rower crossowy damski KROSS Horizon 3.0
kobieta,5000,rekreacja,kilka razy w tygodniu,miasto,średniozaawansowany,każda,30,Rower crossowy damski KELLYS Clea 30
kobieta,10000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,50,Rower crossowy KELLYS Cliff 30
kobieta,2000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,10,Rower crossowy KROSS Evado 3.0 M
mężczyzna,3000,rekreacja,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,50,Rower crossowy KELLYS Cliff 90
mężczyzna,1000,dojazdy,codziennie,miasto,zaawansowany,dobra,50,Rower crossowy KELLYS Cliff 90
kobieta,2000,sport,kilka razy w tygodniu,góry,zaawansowany,deszczowa,20,Rower crossowy damski KELLYS Clea 90
kobieta,2000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,5,Rower crossowy damski KELLYS Clea 90
kobieta,5000,rekreacja,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,30,Rower crossowy damski KELLYS Clea 30
kobieta,4000,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,10,Rower crossowy KELLYS Cliff 30
kobieta,4000,rekreacja,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,50,Rower crossowy damski KROSS Evado 3.0 D
kobieta,3000,dojazdy,kilka razy w tygodniu,góry,początkujący,słoneczna,30,Rower crossowy KROSS Horizon 3.0
kobieta,1000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,dobra,5,Rower crossowy damski KROSS Evado 5.0
kobieta,10000,sport,kilka razy w tygodniu,góry,zaawansowany,deszczowa,50,Rower crossowy KELLYS Cliff 70
kobieta,2000,sport,codziennie,ścieżki rowerowe,zaawansowany,każda,30,Rower crossowy damski KELLYS Clea 70
kobieta,7000,dojazdy,codziennie,miasto,średniozaawansowany,każda,20,Rower crossowy damski KROSS Evado 5.0
mężczyzna,7000,dojazdy,raz w tygodniu,teren mieszany,zaawansowany,każda,10,Rower crossowy KROSS Evado 5.0
kobieta,1000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,każda,50,Rower crossowy KELLYS Cliff 70
kobieta,5000,turystyka,codziennie,miasto,średniozaawansowany,dobra,10,Rower crossowy WINORA Domingo 27 Sport
kobieta,2000,dojazdy,codziennie,ścieżki rowerowe,średniozaawansowany,każda,50,Rower crossowy damski WINORA Domingo 27 Sport
mężczyzna,1000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,słoneczna,20,Rower crossowy KELLYS Cliff 90
kobieta,2000,rekreacja,raz w tygodniu,miasto,zaawansowany,deszczowa,20,Rower crossowy KELLYS Phanatic 10
kobieta,5000,rekreacja,codziennie,teren mieszany,średniozaawansowany,dobra,10,Rower crossowy damski KELLYS Pheebe 10
kobieta,10000,turystyka,raz w tygodniu,góry,początkujący,dobra,5,Rower crossowy damski KELLYS Pheebe 10
kobieta,4000,dojazdy,raz w tygodniu,miasto,średniozaawansowany,słoneczna,30,Rower crossowy damski ROMET Orkan 6 D
kobieta,5000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,słoneczna,5,Rower crossowy damski ROMET Orkan 6 D
mężczyzna,5000,dojazdy,kilka razy w tygodniu,góry,średniozaawansowany,słoneczna,5,Rower crossowy KROSS Evado 6.0
mężczyzna,10000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,każda,50,Rower crossowy KELLYS Phanatic 10
kobieta,5000,rekreacja,codziennie,góry,początkujący,deszczowa,50,Rower crossowy damski KROSS Evado 6.0 PP
mężczyzna,1000,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,słoneczna,50,Rower crossowy ROMET Orkan 6 M
kobieta,3000,sport,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,50,Rower crossowy damski KROSS Evado 4.0 D
kobieta,5000,dojazdy,codziennie,teren mieszany,średniozaawansowany,każda,30,Rower crossowy damski KROSS Evado 5.0 Cues
mężczyzna,10000,turystyka,codziennie,miasto,początkujący,dobra,10,Rower crossowy KROSS Evado 5.0 Cues
kobieta,2000,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,5,Rower crossowy damski LIV Rove 4 DD
kobieta,1500,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,każda,50,Rower crossowy damski KROSS Evado 5.0 Cues
kobieta,1000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,początkujący,słoneczna,50,Rower crossowy KROSS Evado 5.0 Cues
mężczyzna,10000,turystyka,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,30,Rower crossowy KROSS Evado 4.0 M
mężczyzna,5000,dojazdy,codziennie,miasto,zaawansowany,słoneczna,10,Rower crossowy KELLYS Phanatic 30
kobieta,1000,rekreacja,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,50,Rower crossowy damski KROSS Evado 7.0
mężczyzna,10000,turystyka,codziennie,ścieżki rowerowe,zaawansowany,każda,20,Rower crossowy KELLYS Phanatic 30
kobieta,4000,sport,codziennie,miasto,średniozaawansowany,każda,50,Rower crossowy damski KELLYS Pheebe 30
kobieta,10000,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,dobra,5,Rower crossowy damski KELLYS Pheebe 30
mężczyzna,4000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,każda,10,Rower crossowy MARIN Fairfax 2
kobieta,5000,sport,kilka razy w tygodniu,miasto,początkujący,każda,50,Rower crossowy damski LIV Rove 3 DD
kobieta,7000,turystyka,kilka razy w tygodniu,miasto,zaawansowany,każda,10,Rower crossowy GIANT Roam 3 Disc
kobieta,10000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,30,Rower crossowy R-RAYMON CrossRay 4.0 Lady
kobieta,7000,sport,codziennie,góry,początkujący,deszczowa,50,Rower crossowy damski KROSS Evado 5.0 Cues
kobieta,10000,turystyka,codziennie,góry,zaawansowany,dobra,10,Rower crossowy damski KROSS Evado 7.0 Cues
kobieta,5000,turystyka,codziennie,teren mieszany,zaawansowany,dobra,5,Rower crossowy damski LIV Rove 2 DD
kobieta,3000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,5,Rower crossowy KROSS Horizon 5.0
kobieta,2000,sport,codziennie,ścieżki rowerowe,początkujący,dobra,30,Rower crossowy KROSS Evado 5.0 Cues
mężczyzna,3000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,5,Rower crossowy KROSS Evado 5.0 Cues
mężczyzna,2000,turystyka,kilka razy w tygodniu,teren mieszany,średniozaawansowany,deszczowa,30,Rower crossowy R-RAYMON CrossRay 4.0 Gent
kobieta,5000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,słoneczna,5,Rower crossowy damski KROSS Evado 5.0 Cues
mężczyzna,4000,sport,kilka razy w tygodniu,miasto,początkujący,dobra,20,Rower crossowy KROSS Evado 7.0 Cues
kobieta,5000,sport,kilka razy w tygodniu,teren mieszany,początkujący,każda,50,Rower crossowy damski ROMET Orkan 5 CS
mężczyzna,1000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,dobra,5,Rower crossowy ROMET Orkan 5 CS
kobieta,10000,turystyka,raz w tygodniu,miasto,średniozaawansowany,słoneczna,20,Rower crossowy ROMET Orkan 5 CS
kobieta,1500,turystyka,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,20,Rower crossowy damski ROMET Orkan 5 CS
mężczyzna,3000,rekreacja,raz w tygodniu,góry,początkujący,każda,20,Rower crossowy KELLYS Phanatic 50
kobieta,1500,sport,codziennie,teren mieszany,początkujący,każda,10,Rower crossowy damski KELLYS Pheebe 50
kobieta,4000,rekreacja,codziennie,miasto,początkujący,każda,50,Rower crossowy damski ROMET Orkan 6 CS
